SK_ID_CURR,TARGET,AGE,AMT_INCOME_TOTAL,AMT_CREDIT,DURATION_MONTHS,EMPLOYMENT_YEARS,CHECKING_STATUS,SAVINGS_STATUS,PURPOSE,HOUSING,NUM_DEPENDENTS,EXISTING_CREDITS,DELINQUENCIES_2YR,DEBT_TO_INCOME,CREDIT_UTILIZATION
100058,0,28,46122.02,9718.77,12,8.0,no_account,unknown,electronics,own,1,3,0,0.2107,0.2124
100059,0,57,80209.39,3869.95,24,2.1,200_plus,medium,business,own,1,2,1,0.0482,0.5818
100060,0,54,19804.95,32626.06,12,5.5,0_to_200,low,electronics,own,2,0,1,1.6473,0.7491
100061,0,66,42217.18,22458.75,6,5.6,0_to_200,unknown,car,own,2,2,1,0.532,0.1945
100062,0,57,19946.56,14474.16,18,0.9,negative,unknown,electronics,with_parents,1,2,0,0.7256,0.5059
100063,0,38,53618.7,17099.68,60,11.1,negative,low,car,own,0,0,0,0.3189,0.1047
100064,0,68,66728.64,12613.73,6,1.5,0_to_200,low,furniture,own,0,0,0,0.189,0.3418
100065,0,41,56414.28,3715.66,12,16.0,0_to_200,unknown,car,with_parents,4,1,0,0.0659,0.3612
100066,0,36,42898.84,24276.48,24,0.5,negative,low,electronics,own,0,2,0,0.5659,0.2138
100067,0,65,71604.74,22661.97,24,0.1,no_account,low,furniture,own,2,1,0,0.3165,0.616
100068,1,39,52083.7,500.0,12,0.9,negative,low,electronics,own,1,1,0,0.0096,0.2223
100069,0,24,62899.69,17037.89,48,3.0,0_to_200,low,electronics,own,2,2,0,0.2709,0.0506
100070,0,44,61162.75,18031.49,36,3.7,no_account,medium,education,own,1,0,0,0.2948,0.1887
100071,0,59,8000.0,12104.42,24,5.2,negative,low,renovation,own,0,4,0,1.5129,0.2566
100072,0,30,45673.74,33875.39,24,4.4,no_account,unknown,car,rent,2,4,0,0.7417,0.3702
100073,0,43,24379.9,32898.7,36,1.9,200_plus,low,renovation,own,0,4,0,1.3494,0.1621
100074,0,27,31476.45,11602.43,12,6.1,negative,high,furniture,rent,2,1,0,0.3686,0.211
100075,0,54,74662.7,12994.63,60,0.3,0_to_200,unknown,car,own,0,0,0,0.174,0.3573
100076,1,44,37586.81,11937.57,12,0.2,negative,medium,business,with_parents,1,4,0,0.3176,0.3403
100077,0,37,83186.1,9498.01,24,0.7,0_to_200,low,furniture,rent,0,4,0,0.1142,0.2718
100078,0,32,17188.85,6713.16,18,0.7,200_plus,low,furniture,own,3,1,1,0.3905,0.4061
100079,0,48,24536.6,19561.71,36,2.4,no_account,low,business,rent,0,0,0,0.7972,0.1672
100080,0,53,62533.39,32652.97,48,4.6,no_account,medium,business,own,0,4,0,0.5222,0.0992
100081,0,67,47632.51,28950.74,36,18.9,0_to_200,unknown,furniture,own,4,3,1,0.6078,0.3585
100082,0,42,51791.05,22102.59,18,1.3,0_to_200,medium,furniture,own,1,0,0,0.4268,0.5477
100083,1,28,45006.66,500.0,36,4.5,0_to_200,unknown,education,rent,1,2,0,0.0111,0.0941
100084,0,61,42536.2,500.0,60,0.8,negative,unknown,business,own,0,2,1,0.0118,0.3308
100085,0,51,39047.83,24577.47,12,0.3,0_to_200,unknown,business,own,0,0,0,0.6294,0.1707
100086,0,55,48663.73,29574.36,18,0.1,0_to_200,medium,renovation,rent,0,4,0,0.6077,0.0447
100087,0,25,61062.73,19983.61,24,6.5,negative,medium,renovation,with_parents,0,0,0,0.3273,0.5048
100088,0,36,87118.92,12249.78,36,19.7,no_account,low,car,rent,0,1,0,0.1406,0.3384
100089,0,58,47702.3,27170.71,12,13.5,200_plus,unknown,furniture,with_parents,1,1,0,0.5696,0.0955
100090,0,61,38554.55,21782.34,12,2.9,negative,high,education,own,0,0,0,0.565,0.3011
100091,0,42,34664.55,25237.01,24,0.2,no_account,unknown,car,own,1,3,0,0.728,0.072
100092,0,60,74853.52,500.0,36,0.9,200_plus,unknown,car,own,0,2,0,0.0067,0.1532
100093,0,62,62775.13,18090.06,18,7.9,0_to_200,unknown,furniture,rent,0,4,2,0.2882,0.4952
100094,1,39,8000.0,30971.14,24,1.2,0_to_200,unknown,education,with_parents,1,1,1,3.8709,0.4184
100095,1,65,8327.18,19747.04,48,4.4,0_to_200,high,furniture,with_parents,0,1,1,2.3711,0.4274
100096,1,35,29301.41,23534.2,6,1.8,no_account,low,car,rent,1,0,1,0.8031,0.5069
100097,0,32,51382.14,15327.36,18,3.6,0_to_200,low,car,rent,1,2,0,0.2983,0.4039
100098,0,54,48400.78,15954.68,18,8.1,no_account,medium,electronics,rent,0,0,0,0.3296,0.2761
100099,0,52,56747.05,27622.75,36,2.9,200_plus,medium,furniture,own,1,2,0,0.4868,0.0571
100100,0,27,53706.63,8971.9,36,24.4,no_account,unknown,business,rent,0,4,0,0.1671,0.1037
100101,1,61,74100.2,8091.25,48,2.3,no_account,unknown,education,rent,1,0,0,0.1092,0.0537
100102,0,30,61552.42,10696.07,24,2.2,no_account,unknown,car,own,1,4,0,0.1738,0.6006
100103,0,60,48217.96,15211.02,18,3.3,negative,low,furniture,own,0,1,1,0.3155,0.3164
100104,0,21,68055.12,509.2,24,0.3,no_account,unknown,electronics,rent,1,0,0,0.0075,0.2359
100105,1,60,16104.09,21579.53,24,8.2,negative,low,business,rent,1,3,0,1.3399,0.5239
100106,0,59,44490.44,13521.78,36,2.4,0_to_200,unknown,furniture,rent,0,4,0,0.3039,0.6064
100107,0,59,50728.78,22683.2,60,6.0,no_account,medium,electronics,own,2,0,0,0.4471,0.3979
100108,0,53,58960.8,500.0,24,3.8,200_plus,low,car,own,1,0,0,0.0085,0.2696
100109,0,44,12895.93,22717.71,36,4.4,200_plus,low,car,own,0,0,0,1.7615,0.5068
100110,0,55,42252.17,27032.05,12,4.9,no_account,low,renovation,own,0,0,0,0.6398,0.4811
100111,1,34,53731.03,18946.93,24,1.4,no_account,medium,electronics,own,0,1,0,0.3526,0.0948
100112,0,59,58540.57,15270.17,36,8.0,0_to_200,low,electronics,own,0,3,0,0.2608,0.351
100113,0,48,68724.44,22786.83,36,0.0,no_account,low,furniture,rent,2,2,0,0.3316,0.147
100114,1,43,60417.53,26442.85,60,0.4,negative,unknown,renovation,rent,1,2,0,0.4377,0.1019
100115,0,45,47107.35,19706.34,60,6.6,0_to_200,unknown,furniture,own,0,3,1,0.4183,0.3166
100116,0,48,65324.85,20378.77,24,13.7,0_to_200,unknown,furniture,own,1,1,0,0.312,0.4585
100117,0,22,41692.45,29912.48,48,1.4,0_to_200,unknown,car,own,2,4,0,0.7174,0.0242
100118,1,27,48320.71,21850.41,36,0.8,200_plus,low,education,own,1,0,0,0.4522,0.3987
100119,0,33,62549.83,7797.67,24,3.3,0_to_200,medium,renovation,rent,2,0,0,0.1247,0.0497
100120,0,26,44458.57,26399.78,6,0.7,no_account,low,renovation,own,1,3,0,0.5938,0.1534
100121,0,42,52303.95,13886.51,60,0.1,no_account,medium,car,own,2,3,2,0.2655,0.2015
100122,0,53,65914.03,15299.55,60,3.4,0_to_200,low,business,rent,2,1,1,0.2321,0.4527
100123,1,53,59510.95,15961.92,24,0.5,0_to_200,low,electronics,own,1,2,0,0.2682,0.2184
100124,0,44,72008.97,23719.81,18,4.7,0_to_200,low,furniture,own,3,4,2,0.3294,0.541
100125,0,62,92708.06,30739.68,12,2.3,negative,unknown,education,rent,2,0,0,0.3316,0.4766
100126,0,48,65673.78,15219.79,12,13.2,0_to_200,low,renovation,with_parents,0,0,1,0.2317,0.2438
100127,1,24,37838.94,30581.36,48,4.1,200_plus,high,car,with_parents,0,0,1,0.8082,0.2703
100128,0,58,58309.92,16481.29,24,6.1,no_account,unknown,car,own,1,1,0,0.2826,0.2871
100129,0,49,55947.26,27619.51,24,3.1,no_account,low,car,own,0,3,0,0.4937,0.047
100130,0,52,59875.08,16785.9,18,5.2,200_plus,low,education,own,1,2,1,0.2803,0.7706
100131,0,48,79042.76,10568.19,36,8.3,200_plus,medium,renovation,own,0,1,1,0.1337,0.2533
100132,1,48,13008.16,32298.89,36,3.4,no_account,unknown,business,rent,1,2,0,2.4828,0.2869
100133,1,25,76959.52,9709.04,48,3.4,negative,low,car,rent,1,4,0,0.1262,0.313
100134,0,48,82447.78,9106.72,24,0.9,0_to_200,unknown,electronics,with_parents,0,3,0,0.1105,0.2748
100135,0,59,56426.11,3695.64,18,0.1,no_account,unknown,furniture,own,0,0,0,0.0655,0.3621
100136,0,35,57646.21,26405.41,12,1.6,no_account,low,education,rent,1,2,0,0.4581,0.143
100137,0,50,41995.84,28531.03,48,3.7,no_account,unknown,education,own,0,1,0,0.6794,0.4419
100138,0,22,48762.81,18358.17,48,7.3,0_to_200,low,car,own,0,2,0,0.3765,0.1316
100139,0,38,60641.95,6145.14,24,3.4,no_account,unknown,furniture,rent,1,0,0,0.1013,0.2437
100140,0,42,64647.04,14938.99,18,14.0,no_account,high,car,own,0,1,0,0.2311,0.4291
100141,1,69,61859.74,12276.43,36,4.9,no_account,low,electronics,rent,1,0,0,0.1985,0.4837
100142,1,31,61944.66,5725.78,36,8.8,0_to_200,unknown,car,rent,1,0,0,0.0924,0.2971
100143,1,34,77076.7,10599.98,36,28.2,0_to_200,unknown,electronics,own,0,2,0,0.1375,0.1305
100144,0,41,66608.4,19551.62,12,11.8,0_to_200,medium,electronics,own,1,3,0,0.2935,0.1852
100145,0,69,31979.2,9553.48,60,14.9,no_account,unknown,electronics,with_parents,2,4,0,0.2987,0.3369
100146,0,62,62979.67,17625.6,24,2.7,200_plus,low,education,own,0,3,0,0.2799,0.1954
100147,0,22,82609.68,500.0,36,0.9,200_plus,high,electronics,rent,0,4,0,0.0061,0.4116
100148,0,32,45549.84,30112.63,6,2.2,no_account,unknown,education,own,1,1,0,0.6611,0.3898
100149,0,61,75201.82,11477.3,6,0.4,200_plus,high,renovation,rent,0,4,0,0.1526,0.112
100150,1,23,26961.54,22832.24,12,0.6,negative,low,car,own,0,0,0,0.8468,0.3471
100151,0,62,44461.03,16698.17,24,0.1,no_account,unknown,car,own,1,3,1,0.3756,0.2679
100152,0,34,32180.5,18622.48,60,0.0,0_to_200,medium,car,own,1,3,0,0.5787,0.0373
100153,0,65,78375.6,4812.14,36,11.6,negative,low,business,own,0,0,0,0.0614,0.2753
100154,0,35,86519.8,8154.97,60,17.4,200_plus,unknown,business,rent,0,3,1,0.0943,0.6654
100155,0,42,45814.64,8359.32,36,5.6,negative,low,business,rent,1,2,0,0.1825,0.3205
100156,0,53,70574.7,15228.13,12,4.3,0_to_200,medium,business,with_parents,1,4,0,0.2158,0.2608
100157,1,27,79704.07,26935.4,36,3.4,0_to_200,low,electronics,rent,2,2,0,0.3379,0.8103
100158,0,48,53444.73,18899.29,36,18.2,no_account,medium,furniture,own,1,0,0,0.3536,0.2155
100159,0,45,48565.92,6896.94,48,1.9,0_to_200,unknown,car,rent,0,3,0,0.142,0.3635
100160,0,59,63475.93,15786.01,24,7.6,negative,unknown,renovation,with_parents,0,0,0,0.2487,0.4529
100161,0,69,28834.13,14274.3,18,1.4,no_account,unknown,car,own,2,2,0,0.495,0.382
100162,0,53,47901.95,11842.21,36,1.4,negative,high,furniture,own,1,3,0,0.2472,0.2908
100163,0,41,90928.65,14861.25,36,6.1,200_plus,unknown,business,own,0,1,0,0.1634,0.109
100164,0,40,38622.66,21873.41,24,7.2,0_to_200,high,education,own,1,4,0,0.5663,0.2265
100165,0,41,62385.03,8520.66,12,0.6,0_to_200,unknown,electronics,rent,1,0,2,0.1366,0.5307
100166,0,60,58155.45,11886.98,24,5.4,no_account,low,electronics,with_parents,0,4,0,0.2044,0.4461
100167,0,36,44249.09,23839.09,48,5.0,0_to_200,medium,renovation,with_parents,0,2,1,0.5387,0.1591
100168,0,29,49974.83,19220.66,18,1.1,0_to_200,unknown,electronics,own,1,3,0,0.3846,0.5828
100169,0,37,86453.73,26512.01,36,12.8,200_plus,unknown,renovation,rent,1,1,0,0.3067,0.4411
100170,0,22,57769.28,27922.65,18,3.4,0_to_200,unknown,renovation,own,1,4,0,0.4833,0.0992
100171,0,26,60251.55,2755.13,18,2.1,no_account,low,car,own,2,2,0,0.0457,0.324
100172,0,25,78048.5,17594.68,18,2.1,200_plus,low,business,own,0,2,1,0.2254,0.3196
100173,0,58,40280.86,10428.39,12,2.1,0_to_200,unknown,renovation,with_parents,0,3,0,0.2589,0.1181
100174,0,56,24186.77,4211.53,24,0.3,no_account,unknown,furniture,own,1,0,0,0.1741,0.2196
100175,0,55,83859.07,7897.26,36,7.0,0_to_200,medium,furniture,rent,2,2,0,0.0942,0.3118
100176,0,43,55132.65,12293.08,24,14.8,no_account,low,furniture,rent,3,1,0,0.223,0.5071
100177,0,56,68247.47,12349.31,18,10.8,0_to_200,high,education,own,0,4,1,0.1809,0.2178
100178,1,28,30906.09,9538.0,36,2.3,no_account,unknown,business,rent,1,2,1,0.3086,0.3118
100179,0,65,55926.11,14877.23,24,6.3,0_to_200,unknown,furniture,own,0,3,0,0.266,0.342
100180,0,45,24088.85,37019.82,24,2.1,no_account,low,electronics,own,0,0,0,1.5367,0.1573
100181,0,66,46673.3,500.0,36,0.8,0_to_200,unknown,electronics,own,1,4,0,0.0107,0.2651
100182,0,28,33182.9,25234.59,24,2.3,no_account,low,furniture,own,0,3,0,0.7604,0.4115
100183,0,45,28617.14,14834.63,24,2.3,no_account,low,car,own,1,3,0,0.5184,0.3339
100184,0,55,39428.38,11059.09,6,1.0,no_account,low,car,own,2,3,1,0.2805,0.408
100185,0,45,8000.0,500.0,18,2.5,negative,unknown,furniture,with_parents,0,2,1,0.0625,0.3447
100186,0,42,23301.42,21864.87,18,3.0,0_to_200,medium,business,own,0,1,0,0.9383,0.0751
100187,0,29,61385.93,2031.29,48,1.5,negative,medium,renovation,rent,0,0,0,0.0331,0.1998
100188,1,39,52090.23,22451.05,6,0.3,negative,low,education,own,0,3,0,0.431,0.1033
100189,0,32,24147.09,30671.98,36,1.3,200_plus,low,furniture,own,0,0,0,1.2702,0.1778
100190,0,35,61090.89,3454.77,36,10.3,0_to_200,low,electronics,own,0,4,0,0.0566,0.1724
100191,0,54,29474.2,25515.25,18,4.1,negative,unknown,furniture,own,0,3,2,0.8657,0.2545
100192,1,51,60383.13,15228.95,18,1.9,negative,low,car,rent,1,2,0,0.2522,0.5391
100193,0,50,43428.83,500.0,12,1.5,200_plus,unknown,car,own,0,0,0,0.0115,0.1938
100194,0,38,41047.75,4156.65,18,5.1,no_account,high,education,own,2,2,1,0.1013,0.3124
100195,1,68,43680.09,16604.04,48,1.0,no_account,low,car,own,1,4,0,0.3801,0.2496
100196,0,25,96800.51,18610.65,6,1.2,negative,low,car,own,1,4,0,0.1923,0.1354
100197,0,37,34235.37,773.78,24,8.8,0_to_200,medium,furniture,rent,0,3,1,0.0226,0.2601
100198,0,26,50958.37,15285.35,18,2.9,no_account,medium,electronics,own,0,1,0,0.3,0.0731
100199,0,37,61050.15,22412.0,36,0.8,200_plus,unknown,car,with_parents,1,2,0,0.3671,0.2835
100200,1,68,25819.56,23987.18,18,0.1,no_account,low,furniture,own,0,3,0,0.929,0.3068
100201,0,38,21521.64,11284.48,18,16.8,0_to_200,medium,education,with_parents,2,0,0,0.5243,0.3884
100202,0,65,32983.2,18946.22,12,0.0,no_account,low,furniture,rent,0,4,1,0.5744,0.2598
100203,0,45,61997.46,24651.92,48,3.6,200_plus,unknown,electronics,rent,2,2,0,0.3976,0.244
100204,0,55,40697.64,22672.1,24,5.1,negative,medium,renovation,rent,1,1,0,0.5571,0.1993
100205,0,43,42319.02,23022.93,12,3.9,no_account,medium,business,own,0,3,1,0.544,0.3811
100206,0,34,64390.17,16021.56,36,2.3,no_account,unknown,business,rent,1,3,0,0.2488,0.1183
100207,0,58,33482.05,14149.34,36,9.2,no_account,unknown,renovation,own,0,0,0,0.4226,0.3726
100208,0,68,48347.62,17449.02,24,10.2,negative,unknown,car,own,1,0,1,0.3609,0.4175
100209,0,33,15957.38,8126.08,60,2.5,no_account,medium,renovation,own,2,3,0,0.5092,0.4057
100210,0,59,53116.27,25008.85,18,3.4,0_to_200,high,car,own,1,3,0,0.4708,0.5473
100211,1,33,51311.07,1226.36,48,3.4,negative,low,car,own,1,4,1,0.0239,0.1782
100212,0,56,63577.41,10461.21,48,5.3,negative,high,electronics,rent,0,1,0,0.1645,0.1092
100213,0,59,22619.94,14673.81,24,1.1,no_account,unknown,renovation,rent,0,0,0,0.6487,0.1337
100214,1,43,41318.96,19227.12,24,0.3,negative,low,furniture,rent,0,2,0,0.4653,0.1606
100215,0,57,20722.81,20917.76,12,2.6,200_plus,unknown,car,rent,2,1,0,1.0094,0.2596
100216,0,34,40341.18,28400.88,12,0.5,negative,high,car,own,2,0,0,0.704,0.0611
100217,0,24,76141.48,15699.77,24,3.0,0_to_200,unknown,furniture,rent,1,0,0,0.2062,0.2747
100218,0,25,42349.79,8538.13,48,7.5,no_account,high,renovation,rent,2,3,0,0.2016,0.1588
100219,0,42,19133.86,13694.67,18,2.9,no_account,medium,business,rent,1,0,0,0.7157,0.3631
100220,0,65,33200.16,12125.42,24,3.6,200_plus,medium,electronics,rent,0,4,1,0.3652,0.3588
100221,1,27,14912.84,19679.4,12,4.3,0_to_200,low,car,own,1,0,1,1.3195,0.5015
100222,0,43,22275.34,5397.01,18,6.4,0_to_200,low,renovation,own,0,2,1,0.2423,0.3766
100223,0,55,60407.23,13421.13,24,4.0,negative,unknown,car,rent,0,4,1,0.2222,0.3182
100224,1,30,17375.5,29603.96,60,2.6,0_to_200,unknown,car,own,0,3,0,1.7037,0.364
100225,0,56,52495.99,16618.67,12,2.5,200_plus,low,furniture,own,1,2,0,0.3166,0.1204
100226,0,35,46000.07,5523.6,12,1.0,no_account,unknown,electronics,rent,1,3,0,0.1201,0.204
100227,0,60,35651.21,11941.94,12,2.6,no_account,low,renovation,own,1,4,0,0.335,0.0514
100228,0,49,52877.8,500.0,24,6.7,200_plus,unknown,business,own,0,2,1,0.0095,0.1361
100229,0,47,27418.32,14470.26,24,2.3,no_account,low,furniture,own,1,3,0,0.5277,0.1391
100230,1,29,62838.1,29829.13,12,2.0,negative,unknown,business,own,0,3,2,0.4747,0.5133
100231,0,43,32896.21,4320.57,18,3.7,no_account,unknown,business,rent,1,3,1,0.1313,0.1912
100232,0,62,37688.9,1895.58,18,0.8,negative,unknown,car,rent,0,4,0,0.0503,0.1148
100233,0,21,35101.27,9120.66,6,0.4,negative,unknown,furniture,own,0,2,1,0.2598,0.4201
100234,0,58,61713.31,23291.85,48,5.8,no_account,low,car,own,4,1,0,0.3774,0.3375
100235,0,45,56656.81,30341.74,36,1.5,no_account,unknown,education,own,0,3,0,0.5355,0.2325
100236,1,56,8000.0,19033.91,18,1.4,negative,low,renovation,own,1,4,0,2.3789,0.4418
100237,0,53,54721.04,3426.81,24,9.3,negative,low,renovation,own,1,1,0,0.0626,0.2869
100238,0,42,15542.0,14799.98,18,10.9,0_to_200,unknown,electronics,with_parents,0,2,0,0.9522,0.3782
100239,1,36,39752.24,31104.83,6,3.2,0_to_200,low,furniture,rent,1,1,1,0.7824,0.5612
100240,0,51,45069.19,12201.89,24,4.5,no_account,unknown,electronics,own,1,3,0,0.2707,0.4548
100241,0,27,45560.47,16264.25,36,15.2,negative,unknown,renovation,own,3,4,0,0.357,0.2573
100242,0,49,56162.44,17165.04,18,2.3,0_to_200,medium,business,own,1,4,1,0.3056,0.2257
100243,0,25,63848.25,1087.23,18,8.9,0_to_200,low,education,rent,1,1,0,0.017,0.1722
100244,0,52,32493.08,23981.52,18,5.9,200_plus,high,car,own,1,0,1,0.738,0.2296
100245,0,51,35544.54,22683.86,18,13.5,200_plus,high,electronics,rent,0,2,0,0.6382,0.4979
100246,0,25,44856.81,500.0,24,1.2,no_account,unknown,education,rent,0,4,0,0.0111,0.5267
100247,0,58,17803.15,3024.14,36,7.4,no_account,medium,electronics,own,0,0,0,0.1699,0.2589
100248,0,41,35847.22,6272.7,12,0.8,no_account,low,furniture,own,0,4,0,0.175,0.1382
100249,0,59,75629.23,21735.14,36,7.3,no_account,low,furniture,own,0,0,0,0.2874,0.1322
100250,0,23,15741.07,8239.99,60,1.7,0_to_200,low,car,own,1,0,0,0.5234,0.5324
100251,0,29,38326.63,18612.16,12,0.3,no_account,low,renovation,with_parents,0,1,0,0.4856,0.304
100252,0,45,37097.49,13364.03,24,7.9,200_plus,high,business,rent,1,0,0,0.3602,0.2725
100253,0,30,85224.16,15640.55,24,0.2,0_to_200,high,renovation,own,0,1,1,0.1835,0.3157
100254,0,37,38418.68,19463.42,36,8.4,200_plus,low,car,own,1,0,0,0.5066,0.3198
100255,0,53,35882.29,17451.01,48,1.0,0_to_200,medium,car,rent,0,2,0,0.4863,0.1235
100256,0,28,26244.25,14829.25,48,3.7,no_account,high,electronics,with_parents,1,4,0,0.565,0.1743
100257,0,54,45260.0,17943.72,24,0.1,no_account,medium,car,own,0,1,0,0.3965,0.2806
100258,0,26,50577.85,16952.75,36,0.3,0_to_200,low,business,rent,1,3,1,0.3352,0.2382
100259,1,29,27942.44,13113.0,24,1.3,no_account,low,furniture,with_parents,0,4,1,0.4693,0.1137
100260,0,49,65777.0,11118.88,36,2.0,200_plus,low,car,rent,1,0,1,0.169,0.145
100261,0,59,50852.5,31923.99,48,0.9,no_account,unknown,furniture,rent,0,1,0,0.6278,0.3504
100262,0,29,62305.34,11015.66,36,0.5,0_to_200,unknown,renovation,rent,0,4,0,0.1768,0.3762
100263,0,35,38779.99,27302.95,12,0.7,negative,low,business,own,2,3,0,0.704,0.3536
